Don_Left,Don_Right,Ka_Left,Ka_Right,Label
515,4,426,13,Don_Left
492,4,289,16,Don_Left
573,4,321,20,Don_Left
545,5,153,10,Don_Left
524,4,14,5,Don_Left
577,4,99,6,Don_Left
516,4,72,4,Don_Left
494,3,97,5,Don_Left
510,4,67,5,Don_Left
493,4,5,4,Don_Left
501,4,436,16,Don_Left
354,4,629,191,Don_Left
317,2,655,144,Don_Left
249,2,608,128,Don_Left
346,2,643,20,Don_Left
271,1,551,19,Don_Left
244,1,595,23,Don_Left
331,1,455,22,Don_Left
426,2,558,22,Don_Left
387,1,460,22,Don_Left
440,3,465,20,Don_Left
411,2,479,25,Don_Left
460,3,498,23,Don_Left
430,3,455,22,Don_Left
416,3,564,23,Don_Left
430,3,627,19,Don_Left
404,3,636,26,Don_Left
350,2,663,85,Don_Left
296,1,657,112,Don_Left
365,2,640,200,Don_Left
386,2,593,124,Don_Left
480,3,632,243,Don_Left
406,2,241,24,Don_Left
503,4,414,244,Don_Left
506,5,422,81,Don_Left
478,2,149,14,Don_Left
541,4,127,7,Don_Left
583,5,50,10,Don_Left
655,11,11,8,Don_Left
599,4,7,11,Don_Left
640,4,15,12,Don_Left
571,4,0,16,Don_Left
513,3,20,14,Don_Left
529,4,83,8,Don_Left
524,4,4,4,Don_Left
505,4,99,8,Don_Left
525,5,218,11,Don_Left
442,3,279,21,Don_Left
430,3,443,17,Don_Left
439,3,464,21,Don_Left
441,3,657,26,Don_Left
391,3,656,25,Don_Left
388,2,681,25,Don_Left
415,3,661,136,Don_Left
385,3,649,135,Don_Left
396,3,672,130,Don_Left
288,2,574,32,Don_Left
353,2,634,128,Don_Left
399,2,604,84,Don_Left
358,3,557,72,Don_Left
418,4,666,154,Don_Left
405,2,622,179,Don_Left
315,1,442,22,Don_Left
216,4,312,11,Don_Left
433,3,520,24,Don_Left
408,2,557,25,Don_Left
443,3,538,26,Don_Left
436,4,569,38,Don_Left
422,3,538,24,Don_Left
353,3,493,18,Don_Left
441,3,531,25,Don_Left
453,3,363,18,Don_Left
446,3,593,32,Don_Left
469,3,622,140,Don_Left
466,4,625,140,Don_Left
414,2,590,178,Don_Left
477,2,597,158,Don_Left
525,3,625,107,Don_Left
520,4,496,23,Don_Left
525,4,458,21,Don_Left
537,4,512,27,Don_Left
546,4,244,16,Don_Left
565,4,407,129,Don_Left
608,6,360,16,Don_Left
580,4,71,8,Don_Left
615,5,24,14,Don_Left
587,4,9,10,Don_Left
630,5,56,9,Don_Left
604,4,59,7,Don_Left
616,4,10,11,Don_Left
549,3,14,9,Don_Left
588,4,270,45,Don_Left
591,4,150,10,Don_Left
504,4,454,19,Don_Left
518,4,451,30,Don_Left
463,3,456,25,Don_Left
423,2,474,17,Don_Left
449,5,497,28,Don_Left
510,4,619,42,Don_Left
514,5,542,28,Don_Left
220,1,439,171,Don_Right
279,2,524,134,Don_Right
342,2,620,142,Don_Right
268,1,484,107,Don_Right
310,2,391,128,Don_Right
322,2,465,106,Don_Right
356,3,559,132,Don_Right
362,2,602,102,Don_Right
256,2,573,104,Don_Right
208,0,595,61,Don_Right
171,0,535,142,Don_Right
144,1,560,133,Don_Right
84,0,365,113,Don_Right
91,0,429,170,Don_Right
168,0,452,164,Don_Right
121,0,343,78,Don_Right
0,0,264,111,Don_Right
0,0,201,90,Don_Right
0,0,77,148,Don_Right
0,0,202,45,Don_Right
0,0,239,24,Don_Right
0,0,220,36,Don_Right
3,0,232,18,Don_Right
31,0,148,20,Don_Right
55,0,124,23,Don_Right
75,0,88,19,Don_Right
95,0,13,11,Don_Right
250,1,361,102,Don_Right
236,1,403,88,Don_Right
235,1,491,162,Don_Right
243,1,359,87,Don_Right
16,0,150,13,Don_Right
140,0,174,26,Don_Right
334,2,430,32,Don_Right
334,3,376,40,Don_Right
