Don_Left,Don_Right,Ka_Left,Ka_Right,Label
314,0,289,11,Don_Left
431,0,352,18,Don_Left
356,2,11,1,Don_Left
513,0,74,5,Don_Left
370,0,18,2,Don_Left
520,0,38,4,Don_Left
423,0,19,3,Don_Left
545,0,18,9,Don_Left
456,0,21,9,Don_Left
450,0,14,10,Don_Left
532,0,192,9,Don_Left
536,3,6,3,Don_Left
401,0,19,2,Don_Left
514,0,229,9,Don_Left
570,0,186,8,Don_Left
509,0,47,2,Don_Left
525,0,50,1,Don_Left
440,0,57,7,Don_Left
504,0,24,3,Don_Left
541,0,14,1,Don_Left
595,0,9,3,Don_Left
554,0,54,3,Don_Left
540,0,17,1,Don_Left
545,0,11,4,Don_Left
484,0,5,4,Don_Left
509,0,120,5,Don_Left
467,0,11,8,Don_Left
418,0,137,5,Don_Left
388,0,281,13,Don_Left
419,0,400,11,Don_Left
370,0,375,18,Don_Left
392,0,440,17,Don_Left
406,0,463,13,Don_Left
429,0,357,13,Don_Left
399,0,282,9,Don_Left
365,0,265,12,Don_Left
402,0,306,12,Don_Left
360,0,304,10,Don_Left
427,0,308,11,Don_Left
422,0,264,10,Don_Left
403,0,332,18,Don_Left
394,0,348,17,Don_Left
462,0,404,12,Don_Left
365,0,483,15,Don_Left
293,0,281,20,Don_Left
343,0,443,65,Don_Left
377,0,470,65,Don_Left
390,0,512,24,Don_Left
308,0,284,12,Don_Left
319,0,268,6,Don_Left
425,0,523,124,Don_Left
376,0,491,66,Don_Left
352,0,310,23,Don_Left
355,0,461,101,Don_Left
290,0,434,58,Don_Left
435,1,389,86,Don_Left
393,0,376,71,Don_Left
408,0,389,59,Don_Left
449,0,357,96,Don_Left
443,0,427,38,Don_Left
468,0,391,31,Don_Left
451,0,139,13,Don_Left
451,0,398,26,Don_Left
410,0,365,32,Don_Left
341,0,223,22,Don_Left
505,0,108,16,Don_Left
484,2,284,20,Don_Left
486,0,125,7,Don_Left
529,0,309,29,Don_Left
497,0,18,4,Don_Left
493,0,9,5,Don_Left
567,0,48,4,Don_Left
521,0,16,3,Don_Left
450,0,48,1,Don_Left
506,1,155,4,Don_Left
494,2,254,5,Don_Left
503,0,279,8,Don_Left
446,0,370,10,Don_Left
457,0,199,5,Don_Left
481,0,320,8,Don_Left
446,0,361,9,Don_Left
463,0,197,7,Don_Left
463,0,377,10,Don_Left
361,0,302,10,Don_Left
441,0,446,21,Don_Left
439,0,450,21,Don_Left
426,0,397,18,Don_Left
371,0,360,13,Don_Left
398,0,342,11,Don_Left
429,0,343,14,Don_Left
411,0,261,6,Don_Left
429,0,132,5,Don_Left
445,0,111,3,Don_Left
476,0,116,4,Don_Left
531,0,150,3,Don_Left
521,1,14,0,Don_Left
547,0,18,1,Don_Left
520,0,13,2,Don_Left
587,0,8,0,Don_Left
587,0,10,0,Don_Left
568,0,2,0,Don_Left
561,0,14,0,Don_Left
554,2,8,0,Don_Left
585,0,13,0,Don_Left
580,0,8,1,Don_Left
585,0,5,0,Don_Left
550,0,153,2,Don_Left
563,0,0,9,Don_Left
563,0,5,6,Don_Left
612,1,5,0,Don_Left
537,0,16,1,Don_Left
584,0,17,1,Don_Left
537,0,4,0,Don_Left
489,0,15,0,Don_Left
477,0,8,0,Don_Left
505,0,8,1,Don_Left
402,0,17,0,Don_Left
523,0,10,2,Don_Left
507,0,18,4,Don_Left
476,0,3,3,Don_Left
530,0,87,3,Don_Left
490,0,75,1,Don_Left
448,0,20,3,Don_Left
458,0,85,2,Don_Left
491,0,224,4,Don_Left
447,0,217,10,Don_Left
447,0,200,4,Don_Left
449,0,317,8,Don_Left
452,0,291,8,Don_Left
410,0,288,11,Don_Left
432,0,345,11,Don_Left
417,0,284,8,Don_Left
393,0,359,12,Don_Left
419,1,368,10,Don_Left
350,0,274,13,Don_Left
340,0,346,8,Don_Left
341,0,446,10,Don_Left
344,0,255,3,Don_Left
296,0,458,29,Don_Left
287,0,367,29,Don_Left
334,0,505,108,Don_Left
355,0,491,81,Don_Left
292,0,406,36,Don_Left
320,0,444,32,Don_Left
316,0,461,39,Don_Left
396,0,500,99,Don_Left
386,0,496,23,Don_Left
397,0,448,19,Don_Left
